KotaKab,skor
 Kab. Pasir Utara,480
 Kab. Pasuruan,2740
 Kab. Pati,3290
 Kab. Pegunungan Arfak,380
 Kab. Pegunungan Bintang,590
 Kab. Pekalongan,1360
 Kab. Pelalawan,1430
 Kab. Pemalang,2490
 Kab. Penungkalabab L Ilir,410
 Kab. Pesawaran,750
 Kab. Pesisir Barat,420
 Kab. Pesisir Selatan,800
 Kab. Pidie,1670
 Kab. Pidie Jaya,450
 Kab. Pinrang,820
 Kab. Pohuwato,460
 Kab. Polewali Mandar,840
 Kab. Ponorogo,1830
 Kab. Poso,790
 Kab. Pringsewu,1370
 Kab. Probolinggo,2100
 Kab. Pulang Pisau,680
 Kab. Pulau Morotai,380
 Kab. Pulau Taliabu,350
 Kab. Puncak,370
 Kab. Puncak Jaya,370
 Kab. Purbalingga,2230
 Kab. Purwakarta,3250
 Kab. Purworejo,2540
 Kab. Raja Ampat,480
 Kab. Rejang Lebong,660
 Kab. Rembang,1010
 Kab. Rokan Hilir,1180
 Kab. Rokan Hulu,1470
 Kab. Rote-Ndao,430
 Kab. Sabu Raijua,350
 Kab. Salatiga,1340
 Kab. Sambas,1250
 Kab. Samosir,470
 Kab. Sampang,790
 Kab. Sanggau,1010
 Kab. Sangihe,500
 Kab. Sangirtalaut,790
 Kab. Sarmi,380
 Kab. Sarolangun,640
 Kab. Sekadau,440
 Kab. Selayar,470
 Kab. Seluma,540
 Kab. Semarang,2330
 Kab. Seram Bagian Barat,460
 Kab. Seram Bagian Timur,480
 Kab. Serang,1490
 Kab. Serdang Bedagai,1450
 Kab. Seruyan,730
 Kab. Siak Sri Indrapura,600
 Kab. Sidenreng Rappang,1010
 Kab. Sidoarjo,5930
 Kab. Sigi,490
 Kab. Sikka,1130
 Kab. Simalungun,2480
 Kab. Simeulue,430
 Kab. Sinjai,510
 Kab. Sintang,890
 Kab. Situbondo,1660
 Kab. Sleman,7350
 Kab. Solok Sel,480
 Kab. Soppeng,510
 Kab. Sor Sel,430
 Kab. Sorong,500
 Kab. Sragen,3100
 Kab. Subang,2590
 Kab. Subulussalam,390
 Kab. Sukabumi,2940
 Kab. Sukamara,360
 Kab. Sukoharjo,2950
 Kab. Sumba Barat,700
 Kab. Sumba Barat Daya,460
 Kab. Sumba Tengah,370
 Kab. Sumba Timur,1100
 Kab. Sumbawa Barat,490
 Kab. Sumbawa Besar,870
 Kab. Sumedang,1620
 Kab. Sumenep,1470
 Kab. Supiori,350
 Kab. T.T.S Soe,720
 Kab. T.T.U Kefamenanu,940
 Kab. Tabalong,900
 Kab. Tabanan,2290
 Kab. Takalar,810
 Kab. Tambrauw,370
 Kab. Tana Tidung,340
 Kab. Tana Toraja,1030
 Kab. Tanah Bumbu,1080
 Kab. Tanah Datar,1310
 Kab. Tanah Laut,1380
 Kab. Tangerang,7220
 Kab. Tanggamus,870
 Kab. Tanjab Bar,610
 Kab. Tanjab Tim,470
 Kab. Tapanuli Selatan,500
 Kab. Tapanuli Tengah,710
 Kab. Tapanuli Utara,570
 Kab. Tapin,550
 Kab. Tasikmalaya,1570
 Kab. Tebo,520
 Kab. Tegal,2560
 Kab. Teluk Bintuni,490
 Kab. Teluk Wondama,350
 Kab. Temanggung,1630
 Kab. Tj Balai Karimun,740
 Kab. Toba Samosir,780
 Kab. Tojo Una Una,690
 Kab. Toli Toli,480
 Kab. Tolikara,540
 Kab. Toraja Utara,880
 Kab. Trenggalek,920
 Kab. Tuban,1690
 Kab. Tulang Bawang,1060
 Kab. Tulang Bawang Barat,690
 Kab. Tulungagung,3330
 Kab. Wajo,890
 Kab. Wakatobi,500
 Kab. Waropen,390
 Kab. Way Kanan,1180
 Kab. Wonogiri,2450
 Kab. Wonosobo,1190
 Kab. Yahukimo,600
 Kab. Yalimo,360
 Kab. Yapen,470
 Kab.Aceh Barat,1250
 Kab.Bolaang Mongondow Slt,370
 Kab.Bolaang Mongondow Tmr,350
 Kab.Bolaang Mongondow Utr,400
 Kab.Kp Siao Tagulandang B,670
 Kab.Maluku Tenggara Barat,460
 Kab.Muna Barat,450
 Kota Ambon,2840
 Kota Balikpapan,4900
 Kota Banda Aceh,3420
 Kota Bandar Lampung,5500
 Kota Bandung,9620
 Kota Banjar,1080
 Kota Banjar Baru,1660
 Kota Banjarmasin,3160
 Kota Batam,4380
 Kota Batu,1480
 Kota Bau-Bau,790
 Kota Bekasi,10460
 Kota Bengkulu,2800
 Kota Bengkulu Selatan,780
 Kota Bima,980
 Kota Binjai,2300
 Kota Bitung,1070
 Kota Blitar,1230
 Kota Bogor,5090
 Kota Bontang,1520
 Kota Bukittinggi,1480
 Kota Cilegon,1090
 Kota Cimahi,2030
 Kota Cirebon,3170
 Kota Denpasar,5490
 Kota Depok,6120
 Kota Dumai,540
 Kota Gorontalo,1860
 Kota Gunungsitoli,680
 Kota Jakarta Barat,6120
 Kota Jakarta Pusat,7030
 Kota Jakarta Selatan,9230
 Kota Jakarta Timur,11740
 Kota Jakarta Utara,6420
 Kota Jambi,3860
 Kota Jayapura,2230
 Kota Kediri,2510
 Kota Kendari,3230
 Kota Kotamobagu,1170
 Kota Kupang,3320
 Kota Langsa,1250
 Kota Lhokseumawe,2460
 Kota Lubuk Linggau,1230
 Kota Madiun,2090
 Kota Magelang,1720
 Kota Makassar,11690
 Kota Malang,6130
 Kota Manado,4500
 Kota Mataram,3310
 Kota Medan,13470
 Kota Metro,1790
 Kota Mojokerto,1680
 Kota Padang,6450
 Kota Padang Panjang,610
 Kota Padang Sidempuan,1030
 Kota Pagar Alam,420
 Kota Palangka Raya,1660
 Kota Palembang,9680
 Kota Palopo,1880
 Kota Palu,4160
 Kota Pangkal Pinang,1300
 Kota Pariaman,1200
 Kota Pasuruan,490
 Kota Payakumbuh,1200
 Kota Pekalongan,2410
 Kota Pekan Baru,7400
 Kota Pematang Siantar,2220
 Kota Pontianak,2750
 Kota Prabumulih,1340
 Kota Probolinggo,1310
 Kota Sabang,650
 Kota Samarinda,4210
 Kota Sawahlunto,400
 Kota Semarang,7290
 Kota Serang,2130
 Kota Sibolga,700
 Kota Singkawang,2040
 Kota Solok,920
 Kota Sorong,1640
 Kota Sukabumi,1820
 Kota Sungai Penuh,440
 Kota Surabaya,12630
 Kota Surakarta,4580
 Kota Tangerang,8380
 Kota Tangerang Selatan,5640
 Kota Tanjung Balai,690
 Kota Tanjung Pinang,1030
 Kota Tarakan,900
 Kota Tasikmalaya,3290
 Kota Tebing Tinggi,1460
 Kota Tegal,1070
 Kota Ternate,1730
 Kota Tidore Kepulauan,400
 Kota Tomohon,740
 Kota Tual,450
 Kota Yogyakarta,3880
 Minahasa Utara,1080
